frame	ecc	ep	mass	particle	signal	size	x	y	z
0	0.0470223278104	0.0210342320617	9700.82769102	0.0	175.915749109	355420	524.389249056	525.879857873	0
1	0.257493984171	0.0343453351194	6902.39511586	0.0	195.916157006	355420	532.484498116	522.541807808	1
2	0.0757091793816	0.0262588398294	8693.19689341	0.0	188.036746783	355420	529.252446812	522.713236418	2
3	0.0112751711598	0.0231957881637	10063.1874497	0.0	188.449203178	355420	530.237297013	523.296434143	3
4	0.0968097519791	0.0290782312177	8251.03521709	0.0	191.568824967	355420	531.202780646	521.991168313	4
5	0.0221569971848	0.0264931128071	9148.60894603	0.0	192.197666933	355420	530.013356754	522.655171301	5
6	0.0161316101191	0.023381460359	9588.10987433	0.0	182.75400781	355420	529.422788924	521.657995059	6
7	0.0531216161593	0.024132536675	9712.86938591	0.0	189.951813284	355420	529.221987631	522.349322214	7
8	0.0357290007845	0.0251521023439	9293.19449535	0.0	188.720601761	355420	531.155724066	521.481096408	8
9	0.048763612303	0.023754338725	9666.64691939	0.0	183.08591635	355420	530.100007201	521.245519453	9
10	0.0546213506671	0.0255883529035	8509.27256267	0.0	184.33986097	355420	532.065314693	520.604412592	10
11	0.005614594594	0.0239471656257	9636.14531817	0.0	184.947844056	355420	534.061307906	520.031986373	11
12	0.0807989590175	0.0260371579339	8963.19243021	0.0	185.445360625	355420	539.046260391	517.947982372	12
13	0.0924934432423	0.0237490129143	9513.01550142	0.0	186.501034279	355420	542.226972721	515.969863286	13
14	0.0455536097726	0.022014235001	10046.4260958	0.0	179.23729479	355420	546.282808159	513.372891649	14
15	0.0491807902498	0.0253729471402	9270.5348692	0.0	189.103783029	355420	549.051128471	513.612098529	15
16	0.0147751195238	0.021687762645	10474.2861149	0.0	183.989056938	355420	548.370626439	513.056361933	16
17	0.0336005141367	0.0233914979212	9601.58615455	0.0	182.977611783	355420	550.277926363	511.85291876	17
18	0.0984677346445	0.0235771350615	9497.7882331	0.0	188.86354177	355420	550.316960345	510.788674522	18
19	0.0990170886385	0.0288126961344	8542.09548024	0.0	197.370349493	355420	553.196078418	511.079822579	19
20	0.045553659035	0.0243479538839	9832.74752683	0.0	196.408477153	355420	555.230272185	510.668523943	20
21	0.079191581708	0.0280010129488	9049.46188847	0.0	197.657865652	355420	556.012651905	510.450781644	21
22	0.039023927083	0.0251622747206	9287.8059891	0.0	193.829818522	355420	555.232214792	511.293289946	22
23	0.0925426047717	0.0251704417016	9182.85804711	0.0	192.982053781	355420	554.358012584	511.582351828	23
24	0.0700826852891	0.0262814221194	9250.55249974	0.0	198.607415346	355420	556.127164603	513.768709261	24
25	0.069025728986	0.0253540726232	9587.68974996	0.0	201.671276602	355420	554.356308596	512.900816898	25
